Проект;Почтовая служба gmail.com;;
Цель проверки;Проверка функционала отправки сообщений;;
Идентификатор ID;ID.1;;
Требование;REQ1;;
Дата проведения;29.08.2025;;
Исполнитель;Дмитриев И.Б.;;
Среда тестирования;PC, Windows 11 Pro 24H2, Google Chrome v 137.0.7151.120;;
Тип тестов;Наименование тестов;Результат;
Дымовое тестирование;"Проверка возможности отправки 
письма с текстовым сообщением";Успешно;
Тест критического пути;"Проверка отправки письма с 
прикрепленным медиафайлом до 25 Мб";Успешно;
Тест критического пути;"Проверка возможности изменения 
шрифта в текстовом сообщении в письме";Успешно;
Тест критического пути;"Проверка возможности отправки 
письма с вставленной ссылкой на
файлы в google диске";Успешно;
Тест критического пути;"Проверка возможности отправки письма при применении 
конфиденциального режима";Успешно;
Тест критического пути;"Проверка возможности отправки 
запланированного сообшения";Успешно;
Расширенное тестирование;"Проверка возможности отправки 
письма с прикрепленным большим файлом более 25 Мб";Успешно;
Расширенное тестирование;"Проверка возможности отправки письма при пустом 
поле ""Кому""";Успешно;
Расширенное тестирование;"Проверка возможности отправки письма при некорректно 
заполненном поле ""Кому"" - символами";Успешно;
Тест критического пути;"Проверка возможности отправки письма с пустыми 
полями ""тема"" и ""сообщение"" на корректный адрес";Успешно;
